n,Dynamic Programming Memoization,,,,,,,,Dynamic Programming Tabulation,,,,,,,
,Computation 1,Retrieval 1,Computation 2,Retrieval 2,Computation 3,Retrieval 3,Average Computation,Average Retrieval,Computation 1,Retrieval 1,Computation 2,Retrieval 2,Computation 3,Retrieval 3,Average Computation,Average Retrieval
5100,4348112,1036302,4371733,1058454,4327849,1014727,4349231,1036494,5100000,6554534,5100000,6571690,5100000,6546915,5100000,6557713
5200,4423958,1055157,4492251,1090808,4440664,1044313,4452291,1063426,5200000,6679570,5200000,6700316,5200000,6674336,5200000,6684740
5300,4524340,1077340,4564601,1106459,4533276,1069025,4540739,1084274,5300000,6811174,5300000,6830305,5300000,6801480,5300000,6814319
5400,4627773,1106444,4691847,1142054,4621010,1090365,4646876,1112954,5400000,6943422,5400000,6958992,5400000,6929539,5400000,6943984
5500,4755074,1142321,4765208,1162796,4722348,1119756,4747543,1141624,5500000,7075586,5500000,7087334,5500000,7063959,5500000,7075626
5600,4841009,1168890,4834261,1177856,4805702,1140466,4826990,1162404,5600000,7203851,5600000,7211352,5600000,7191351,5600000,7202184
5700,4905887,1182719,4921456,1196830,4892339,1162994,4906560,1180847,5700000,7331439,5700000,7338331,5700000,7320497,5700000,7330089
5800,5018474,1211158,5003118,1214665,4966870,1178134,4996154,1201319,5800000,7460730,5800000,7464153,5800000,7443392,5800000,7456091
5900,5086676,1227793,5096070,1233480,5077529,1203957,5086758,1221743,5900000,7588729,5900000,7589204,5900000,7572309,5900000,7583414
6000,5176320,1252571,5195873,1258461,5166934,1225510,5179709,1245514,6000000,7713924,6000000,7720555,6000000,7702955,6000000,7712478
6100,5260269,1269302,5252913,1271348,5234770,1240252,5249317,1260300,6100000,7842132,6100000,7845259,6100000,7830234,6100000,7839208
6200,5327090,1284269,5357215,1294594,5325892,1261966,5336732,1280276,6200000,7967753,6200000,7975279,6200000,7962324,6200000,7968452
6300,5428097,1307949,5444596,1314826,5419063,1287143,5430585,1303306,6300000,8095259,6300000,8103998,6300000,8092052,6300000,8097103
6400,5537201,1334398,5529304,1334793,5510482,1308948,5525662,1326046,6400000,8225003,6400000,8230104,6400000,8221083,6400000,8225396
6500,5658479,1371128,5652701,1372682,5569122,1321757,5626767,1355189,6500000,8356474,6500000,8359012,6500000,8341905,6500000,8352463
